#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  4869   0.228392E+00  -0.108592E-01   0.216960E-07  -0.108592E-01   0.832981E-02   0.364257E-12   0.216960E-07   0.364257E-12   0.138380E-09
  4870   0.228032E+00  -0.108629E-01   0.216884E-07  -0.108629E-01   0.829714E-02  -0.903783E-12   0.216884E-07  -0.903783E-12   0.138280E-09
  4871   0.227676E+00  -0.108655E-01   0.216826E-07  -0.108655E-01   0.826441E-02  -0.216073E-11   0.216826E-07  -0.216073E-11   0.138180E-09
  4872   0.227320E+00  -0.108673E-01   0.216762E-07  -0.108673E-01   0.823156E-02  -0.343265E-11   0.216762E-07  -0.343265E-11   0.138080E-09
  4873   0.226968E+00  -0.108681E-01   0.216686E-07  -0.108681E-01   0.819867E-02  -0.469627E-11   0.216686E-07  -0.469627E-11   0.137980E-09
  4874   0.226618E+00  -0.108680E-01   0.216583E-07  -0.108680E-01   0.816567E-02  -0.596825E-11   0.216583E-07  -0.596825E-11   0.137880E-09
  4875   0.226270E+00  -0.108670E-01   0.216464E-07  -0.108670E-01   0.813263E-02  -0.722817E-11   0.216464E-07  -0.722817E-11   0.137780E-09
  4876   0.225924E+00  -0.108650E-01   0.216334E-07  -0.108650E-01   0.809949E-02  -0.837377E-11   0.216334E-07  -0.837377E-11   0.137681E-09
  4877   0.225580E+00  -0.108621E-01   0.216215E-07  -0.108621E-01   0.806633E-02  -0.952245E-11   0.216215E-07  -0.952245E-11   0.137581E-09
  4878   0.225238E+00  -0.108583E-01   0.216105E-07  -0.108583E-01   0.803308E-02  -0.106920E-10   0.216105E-07  -0.106920E-10   0.137482E-09
  4879   0.224898E+00  -0.108535E-01   0.216019E-07  -0.108535E-01   0.799980E-02  -0.118602E-10   0.216019E-07  -0.118602E-10   0.137382E-09
  4880   0.224559E+00  -0.108478E-01   0.215945E-07  -0.108478E-01   0.796646E-02  -0.130425E-10   0.215945E-07  -0.130425E-10   0.137283E-09
  4881   0.224223E+00  -0.108412E-01   0.215888E-07  -0.108412E-01   0.793310E-02  -0.142081E-10   0.215888E-07  -0.142081E-10   0.137183E-09
  4882   0.223887E+00  -0.108336E-01   0.215830E-07  -0.108336E-01   0.789967E-02  -0.153750E-10   0.215830E-07  -0.153750E-10   0.137084E-09
  4883   0.223554E+00  -0.108251E-01   0.215769E-07  -0.108251E-01   0.786624E-02  -0.165446E-10   0.215769E-07  -0.165446E-10   0.136985E-09
  4884   0.223221E+00  -0.108157E-01   0.215683E-07  -0.108157E-01   0.783276E-02  -0.177253E-10   0.215683E-07  -0.177253E-10   0.136886E-09
  4885   0.222891E+00  -0.108054E-01   0.215579E-07  -0.108054E-01   0.779929E-02  -0.188967E-10   0.215579E-07  -0.188967E-10   0.136787E-09
  4886   0.222561E+00  -0.107942E-01   0.215454E-07  -0.107942E-01   0.776577E-02  -0.200762E-10   0.215454E-07  -0.200762E-10   0.136688E-09
  4887   0.222233E+00  -0.107820E-01   0.215332E-07  -0.107820E-01   0.773226E-02  -0.211541E-10   0.215332E-07  -0.211541E-10   0.136589E-09
  4888   0.221906E+00  -0.107689E-01   0.215220E-07  -0.107689E-01   0.769872E-02  -0.222102E-10   0.215220E-07  -0.222102E-10   0.136490E-09
  4889   0.221580E+00  -0.107549E-01   0.215133E-07  -0.107549E-01   0.766521E-02  -0.232661E-10   0.215133E-07  -0.232661E-10   0.136391E-09
  4890   0.221254E+00  -0.107400E-01   0.215061E-07  -0.107400E-01   0.763167E-02  -0.243293E-10   0.215061E-07  -0.243293E-10   0.136292E-09
  4891   0.220931E+00  -0.107242E-01   0.215008E-07  -0.107242E-01   0.759817E-02  -0.253854E-10   0.215008E-07  -0.253854E-10   0.136194E-09
  4892   0.220607E+00  -0.107076E-01   0.214952E-07  -0.107076E-01   0.756465E-02  -0.264445E-10   0.214952E-07  -0.264445E-10   0.136095E-09
  4893   0.220285E+00  -0.106900E-01   0.214896E-07  -0.106900E-01   0.753118E-02  -0.274723E-10   0.214896E-07  -0.274723E-10   0.135997E-09
  4894   0.219963E+00  -0.106715E-01   0.214820E-07  -0.106715E-01   0.749770E-02  -0.285131E-10   0.214820E-07  -0.285131E-10   0.135898E-09
  4895   0.219643E+00  -0.106522E-01   0.214730E-07  -0.106522E-01   0.746428E-02  -0.295447E-10   0.214730E-07  -0.295447E-10   0.135800E-09
  4896   0.219323E+00  -0.106321E-01   0.214620E-07  -0.106321E-01   0.743088E-02  -0.305689E-10   0.214620E-07  -0.305689E-10   0.135702E-09
  4897   0.219003E+00  -0.106110E-01   0.214499E-07  -0.106110E-01   0.739750E-02  -0.316008E-10   0.214499E-07  -0.316008E-10   0.135603E-09
  4898   0.218684E+00  -0.105891E-01   0.214385E-07  -0.105891E-01   0.736419E-02  -0.325674E-10   0.214385E-07  -0.325674E-10   0.135505E-09
  4899   0.218365E+00  -0.105663E-01   0.214288E-07  -0.105663E-01   0.733089E-02  -0.334711E-10   0.214288E-07  -0.334711E-10   0.135407E-09
  4900   0.218047E+00  -0.105427E-01   0.214218E-07  -0.105427E-01   0.729768E-02  -0.343690E-10   0.214218E-07  -0.343690E-10   0.135309E-09
  4901   0.217729E+00  -0.105182E-01   0.214165E-07  -0.105182E-01   0.726449E-02  -0.352804E-10   0.214165E-07  -0.352804E-10   0.135211E-09
  4902   0.217411E+00  -0.104930E-01   0.214122E-07  -0.104930E-01   0.723139E-02  -0.361824E-10   0.214122E-07  -0.361824E-10   0.135113E-09
  4903   0.217093E+00  -0.104669E-01   0.214070E-07  -0.104669E-01   0.719832E-02  -0.370987E-10   0.214070E-07  -0.370987E-10   0.135015E-09
  4904   0.216776E+00  -0.104400E-01   0.214006E-07  -0.104400E-01   0.716536E-02  -0.379869E-10   0.214006E-07  -0.379869E-10   0.134918E-09
  4905   0.216459E+00  -0.104123E-01   0.213921E-07  -0.104123E-01   0.713244E-02  -0.388900E-10   0.213921E-07  -0.388900E-10   0.134820E-09
  4906   0.216142E+00  -0.103839E-01   0.213822E-07  -0.103839E-01   0.709962E-02  -0.397885E-10   0.213822E-07  -0.397885E-10   0.134722E-09
  4907   0.215824E+00  -0.103546E-01   0.213711E-07  -0.103546E-01   0.706686E-02  -0.406996E-10   0.213711E-07  -0.406996E-10   0.134625E-09
  4908   0.215507E+00  -0.103246E-01   0.213601E-07  -0.103246E-01   0.703421E-02  -0.416005E-10   0.213601E-07  -0.416005E-10   0.134527E-09
  4909   0.215189E+00  -0.102937E-01   0.213501E-07  -0.102937E-01   0.700163E-02  -0.425008E-10   0.213501E-07  -0.425008E-10   0.134430E-09
  4910   0.214872E+00  -0.102622E-01   0.213423E-07  -0.102622E-01   0.696917E-02  -0.432800E-10   0.213423E-07  -0.432800E-10   0.134333E-09
  4911   0.214554E+00  -0.102299E-01   0.213365E-07  -0.102299E-01   0.693679E-02  -0.440744E-10   0.213365E-07  -0.440744E-10   0.134235E-09
  4912   0.214236E+00  -0.101969E-01   0.213325E-07  -0.101969E-01   0.690453E-02  -0.448613E-10   0.213325E-07  -0.448613E-10   0.134138E-09
  4913   0.213917E+00  -0.101631E-01   0.213283E-07  -0.101631E-01   0.687236E-02  -0.456565E-10   0.213283E-07  -0.456565E-10   0.134041E-09
  4914   0.213598E+00  -0.101287E-01   0.213229E-07  -0.101287E-01   0.684032E-02  -0.464409E-10   0.213229E-07  -0.464409E-10   0.133944E-09
  4915   0.213279E+00  -0.100934E-01   0.213151E-07  -0.100934E-01   0.680837E-02  -0.472207E-10   0.213151E-07  -0.472207E-10   0.133847E-09
  4916   0.212959E+00  -0.100576E-01   0.213055E-07  -0.100576E-01   0.677657E-02  -0.479809E-10   0.213055E-07  -0.479809E-10   0.133750E-09
  4917   0.212639E+00  -0.100210E-01   0.212947E-07  -0.100210E-01   0.674487E-02  -0.487521E-10   0.212947E-07  -0.487521E-10   0.133653E-09
  4918   0.212319E+00  -0.998390E-02   0.212840E-07  -0.998390E-02   0.671332E-02  -0.495136E-10   0.212840E-07  -0.495136E-10   0.133556E-09
  4919   0.211997E+00  -0.994600E-02   0.212739E-07  -0.994600E-02   0.668188E-02  -0.502775E-10   0.212739E-07  -0.502775E-10   0.133460E-09
  4920   0.211675E+00  -0.990755E-02   0.212657E-07  -0.990755E-02   0.665059E-02  -0.510266E-10   0.212657E-07  -0.510266E-10   0.133363E-09
  4921   0.211353E+00  -0.986838E-02   0.212592E-07  -0.986838E-02   0.661943E-02  -0.516900E-10   0.212592E-07  -0.516900E-10   0.133266E-09
  4922   0.211030E+00  -0.982869E-02   0.212546E-07  -0.982869E-02   0.658842E-02  -0.523185E-10   0.212546E-07  -0.523185E-10   0.133170E-09
  4923   0.210706E+00  -0.978830E-02   0.212506E-07  -0.978830E-02   0.655755E-02  -0.529523E-10   0.212506E-07  -0.529523E-10   0.133073E-09
  4924   0.210381E+00  -0.974741E-02   0.212462E-07  -0.974741E-02   0.652684E-02  -0.535752E-10   0.212462E-07  -0.535752E-10   0.132977E-09
  4925   0.210056E+00  -0.970585E-02   0.212396E-07  -0.970585E-02   0.649627E-02  -0.542002E-10   0.212396E-07  -0.542002E-10   0.132881E-09
  4926   0.209730E+00  -0.966382E-02   0.212310E-07  -0.966382E-02   0.646588E-02  -0.548118E-10   0.212310E-07  -0.548118E-10   0.132784E-09
  4927   0.209403E+00  -0.962114E-02   0.212204E-07  -0.962114E-02   0.643563E-02  -0.554113E-10   0.212204E-07  -0.554113E-10   0.132688E-09
  4928   0.209075E+00  -0.957802E-02   0.212094E-07  -0.957802E-02   0.640556E-02  -0.560086E-10   0.212094E-07  -0.560086E-10   0.132592E-09
  4929   0.208746E+00  -0.953428E-02   0.211993E-07  -0.953428E-02   0.637564E-02  -0.566173E-10   0.211993E-07  -0.566173E-10   0.132496E-09
  4930   0.208417E+00  -0.949011E-02   0.211910E-07  -0.949011E-02   0.634590E-02  -0.572200E-10   0.211910E-07  -0.572200E-10   0.132400E-09
  4931   0.208086E+00  -0.944537E-02   0.211845E-07  -0.944537E-02   0.631633E-02  -0.578269E-10   0.211845E-07  -0.578269E-10   0.132304E-09
  4932   0.207755E+00  -0.940021E-02   0.211797E-07  -0.940021E-02   0.628695E-02  -0.583801E-10   0.211797E-07  -0.583801E-10   0.132208E-09
  4933   0.207422E+00  -0.935451E-02   0.211755E-07  -0.935451E-02   0.625773E-02  -0.588832E-10   0.211755E-07  -0.588832E-10   0.132112E-09
  4934   0.207088E+00  -0.930843E-02   0.211714E-07  -0.930843E-02   0.622870E-02  -0.593832E-10   0.211714E-07  -0.593832E-10   0.132017E-09
  4935   0.206753E+00  -0.926182E-02   0.211658E-07  -0.926182E-02   0.619985E-02  -0.598895E-10   0.211658E-07  -0.598895E-10   0.131921E-09
  4936   0.206418E+00  -0.921487E-02   0.211583E-07  -0.921487E-02   0.617121E-02  -0.603875E-10   0.211583E-07  -0.603875E-10   0.131825E-09
  4937   0.206081E+00  -0.916741E-02   0.211485E-07  -0.916741E-02   0.614273E-02  -0.608872E-10   0.211485E-07  -0.608872E-10   0.131730E-09
  4938   0.205743E+00  -0.911964E-02   0.211376E-07  -0.911964E-02   0.611447E-02  -0.613622E-10   0.211376E-07  -0.613622E-10   0.131635E-09
  4939   0.205404E+00  -0.907139E-02   0.211267E-07  -0.907139E-02   0.608639E-02  -0.618411E-10   0.211267E-07  -0.618411E-10   0.131539E-09
  4940   0.205064E+00  -0.902285E-02   0.211176E-07  -0.902285E-02   0.605852E-02  -0.623172E-10   0.211176E-07  -0.623172E-10   0.131444E-09
  4941   0.204723E+00  -0.897387E-02   0.211106E-07  -0.897387E-02   0.603083E-02  -0.627979E-10   0.211106E-07  -0.627979E-10   0.131349E-09
  4942   0.204381E+00  -0.892462E-02   0.211057E-07  -0.892462E-02   0.600336E-02  -0.632680E-10   0.211057E-07  -0.632680E-10   0.131253E-09
  4943   0.204037E+00  -0.887500E-02   0.211014E-07  -0.887500E-02   0.597609E-02  -0.637262E-10   0.211014E-07  -0.637262E-10   0.131158E-09
  4944   0.203692E+00  -0.882507E-02   0.210974E-07  -0.882507E-02   0.594903E-02  -0.640884E-10   0.210974E-07  -0.640884E-10   0.131063E-09
  4945   0.203346E+00  -0.877483E-02   0.210918E-07  -0.877483E-02   0.592217E-02  -0.644527E-10   0.210918E-07  -0.644527E-10   0.130968E-09
  4946   0.202999E+00  -0.872432E-02   0.210850E-07  -0.872432E-02   0.589554E-02  -0.648085E-10   0.210850E-07  -0.648085E-10   0.130873E-09
  4947   0.202650E+00  -0.867352E-02   0.210758E-07  -0.867352E-02   0.586911E-02  -0.651615E-10   0.210758E-07  -0.651615E-10   0.130778E-09
  4948   0.202301E+00  -0.862247E-02   0.210656E-07  -0.862247E-02   0.584290E-02  -0.654997E-10   0.210656E-07  -0.654997E-10   0.130684E-09
  4949   0.201950E+00  -0.857117E-02   0.210543E-07  -0.857117E-02   0.581690E-02  -0.658256E-10   0.210543E-07  -0.658256E-10   0.130589E-09
  4950   0.201599E+00  -0.851964E-02   0.210445E-07  -0.851964E-02   0.579114E-02  -0.661327E-10   0.210445E-07  -0.661327E-10   0.130494E-09
  4951   0.201245E+00  -0.846790E-02   0.210362E-07  -0.846790E-02   0.576558E-02  -0.664434E-10   0.210362E-07  -0.664434E-10   0.130400E-09
  4952   0.200891E+00  -0.841596E-02   0.210308E-07  -0.841596E-02   0.574025E-02  -0.667504E-10   0.210308E-07  -0.667504E-10   0.130305E-09
  4953   0.200535E+00  -0.836383E-02   0.210266E-07  -0.836383E-02   0.571514E-02  -0.670578E-10   0.210266E-07  -0.670578E-10   0.130211E-09
  4954   0.200179E+00  -0.831154E-02   0.210232E-07  -0.831154E-02   0.569026E-02  -0.673577E-10   0.210232E-07  -0.673577E-10   0.130116E-09
  4955   0.199820E+00  -0.825908E-02   0.210181E-07  -0.825908E-02   0.566560E-02  -0.675905E-10   0.210181E-07  -0.675905E-10   0.130022E-09
  4956   0.199461E+00  -0.820648E-02   0.210117E-07  -0.820648E-02   0.564118E-02  -0.678028E-10   0.210117E-07  -0.678028E-10   0.129928E-09
  4957   0.199100E+00  -0.815376E-02   0.210028E-07  -0.815376E-02   0.561698E-02  -0.680217E-10   0.210028E-07  -0.680217E-10   0.129834E-09
  4958   0.198739E+00  -0.810092E-02   0.209930E-07  -0.810092E-02   0.559302E-02  -0.682363E-10   0.209930E-07  -0.682363E-10   0.129739E-09
  4959   0.198376E+00  -0.804798E-02   0.209821E-07  -0.804798E-02   0.556928E-02  -0.684503E-10   0.209821E-07  -0.684503E-10   0.129645E-09
  4960   0.198012E+00  -0.799495E-02   0.209721E-07  -0.799495E-02   0.554578E-02  -0.686551E-10   0.209721E-07  -0.686551E-10   0.129551E-09
  4961   0.197646E+00  -0.794186E-02   0.209630E-07  -0.794186E-02   0.552251E-02  -0.688429E-10   0.209630E-07  -0.688429E-10   0.129457E-09
  4962   0.197280E+00  -0.788870E-02   0.209565E-07  -0.788870E-02   0.549948E-02  -0.690289E-10   0.209565E-07  -0.690289E-10   0.129364E-09
  4963   0.196912E+00  -0.783550E-02   0.209514E-07  -0.783550E-02   0.547667E-02  -0.692188E-10   0.209514E-07  -0.692188E-10   0.129270E-09
  4964   0.196543E+00  -0.778227E-02   0.209480E-07  -0.778227E-02   0.545412E-02  -0.694051E-10   0.209480E-07  -0.694051E-10   0.129176E-09
  4965   0.196172E+00  -0.772902E-02   0.209437E-07  -0.772902E-02   0.543178E-02  -0.695893E-10   0.209437E-07  -0.695893E-10   0.129082E-09
  4966   0.195801E+00  -0.767577E-02   0.209381E-07  -0.767577E-02   0.540970E-02  -0.697310E-10   0.209381E-07  -0.697310E-10   0.128989E-09
  4967   0.195429E+00  -0.762253E-02   0.209295E-07  -0.762253E-02   0.538784E-02  -0.698295E-10   0.209295E-07  -0.698295E-10   0.128895E-09
  4968   0.195055E+00  -0.756931E-02   0.209196E-07  -0.756931E-02   0.536623E-02  -0.699245E-10   0.209196E-07  -0.699245E-10   0.128802E-09
  4969   0.194680E+00  -0.751612E-02   0.209083E-07  -0.751612E-02   0.534484E-02  -0.700177E-10   0.209083E-07  -0.700177E-10   0.128708E-09
  4970   0.194304E+00  -0.746299E-02   0.208979E-07  -0.746299E-02   0.532371E-02  -0.701009E-10   0.208979E-07  -0.701009E-10   0.128615E-09
  4971   0.193927E+00  -0.740992E-02   0.208882E-07  -0.740992E-02   0.530280E-02  -0.701763E-10   0.208882E-07  -0.701763E-10   0.128522E-09
  4972   0.193549E+00  -0.735693E-02   0.208809E-07  -0.735693E-02   0.528214E-02  -0.702268E-10   0.208809E-07  -0.702268E-10   0.128428E-09
  4973   0.193170E+00  -0.730402E-02   0.208749E-07  -0.730402E-02   0.526171E-02  -0.702673E-10   0.208749E-07  -0.702673E-10   0.128335E-09
  4974   0.192790E+00  -0.725122E-02   0.208706E-07  -0.725122E-02   0.524153E-02  -0.703003E-10   0.208706E-07  -0.703003E-10   0.128242E-09
  4975   0.192408E+00  -0.719854E-02   0.208661E-07  -0.719854E-02   0.522158E-02  -0.703300E-10   0.208661E-07  -0.703300E-10   0.128149E-09
  4976   0.192026E+00  -0.714598E-02   0.208611E-07  -0.714598E-02   0.520187E-02  -0.703512E-10   0.208611E-07  -0.703512E-10   0.128056E-09
  4977   0.191642E+00  -0.709356E-02   0.208535E-07  -0.709356E-02   0.518240E-02  -0.703583E-10   0.208535E-07  -0.703583E-10   0.127963E-09
  4978   0.191258E+00  -0.704130E-02   0.208441E-07  -0.704130E-02   0.516316E-02  -0.702990E-10   0.208441E-07  -0.702990E-10   0.127870E-09
  4979   0.190873E+00  -0.698919E-02   0.208326E-07  -0.698919E-02   0.514416E-02  -0.702406E-10   0.208326E-07  -0.702406E-10   0.127778E-09
  4980   0.190487E+00  -0.693727E-02   0.208214E-07  -0.693727E-02   0.512540E-02  -0.701817E-10   0.208214E-07  -0.701817E-10   0.127685E-09
  4981   0.190099E+00  -0.688554E-02   0.208110E-07  -0.688554E-02   0.510688E-02  -0.701215E-10   0.208110E-07  -0.701215E-10   0.127592E-09
  4982   0.189711E+00  -0.683401E-02   0.208030E-07  -0.683401E-02   0.508859E-02  -0.700563E-10   0.208030E-07  -0.700563E-10   0.127500E-09
  4983   0.189322E+00  -0.678268E-02   0.207966E-07  -0.678268E-02   0.507053E-02  -0.699807E-10   0.207966E-07  -0.699807E-10   0.127407E-09
  4984   0.188933E+00  -0.673158E-02   0.207919E-07  -0.673158E-02   0.505271E-02  -0.698901E-10   0.207919E-07  -0.698901E-10   0.127315E-09
  4985   0.188542E+00  -0.668072E-02   0.207871E-07  -0.668072E-02   0.503512E-02  -0.697973E-10   0.207871E-07  -0.697973E-10   0.127222E-09
  4986   0.188150E+00  -0.663010E-02   0.207820E-07  -0.663010E-02   0.501777E-02  -0.697029E-10   0.207820E-07  -0.697029E-10   0.127130E-09
  4987   0.187758E+00  -0.657974E-02   0.207749E-07  -0.657974E-02   0.500064E-02  -0.696063E-10   0.207749E-07  -0.696063E-10   0.127038E-09
  4988   0.187365E+00  -0.652965E-02   0.207663E-07  -0.652965E-02   0.498376E-02  -0.695048E-10   0.207663E-07  -0.695048E-10   0.126946E-09
  4989   0.186971E+00  -0.647983E-02   0.207552E-07  -0.647983E-02   0.496709E-02  -0.693503E-10   0.207552E-07  -0.693503E-10   0.126854E-09
  4990   0.186576E+00  -0.643030E-02   0.207436E-07  -0.643030E-02   0.495066E-02  -0.691832E-10   0.207436E-07  -0.691832E-10   0.126762E-09
  4991   0.186181E+00  -0.638107E-02   0.207321E-07  -0.638107E-02   0.493445E-02  -0.690165E-10   0.207321E-07  -0.690165E-10   0.126670E-09
  4992   0.185785E+00  -0.633214E-02   0.207228E-07  -0.633214E-02   0.491847E-02  -0.688471E-10   0.207228E-07  -0.688471E-10   0.126578E-09
  4993   0.185388E+00  -0.628353E-02   0.207154E-07  -0.628353E-02   0.490271E-02  -0.686727E-10   0.207154E-07  -0.686727E-10   0.126486E-09
  4994   0.184991E+00  -0.623525E-02   0.207102E-07  -0.623525E-02   0.488718E-02  -0.684890E-10   0.207102E-07  -0.684890E-10   0.126394E-09
  4995   0.184593E+00  -0.618730E-02   0.207052E-07  -0.618730E-02   0.487186E-02  -0.682835E-10   0.207052E-07  -0.682835E-10   0.126302E-09
  4996   0.184194E+00  -0.613969E-02   0.207000E-07  -0.613969E-02   0.485677E-02  -0.680696E-10   0.207000E-07  -0.680696E-10   0.126211E-09
  4997   0.183795E+00  -0.609244E-02   0.206928E-07  -0.609244E-02   0.484190E-02  -0.678488E-10   0.206928E-07  -0.678488E-10   0.126119E-09
  4998   0.183396E+00  -0.604555E-02   0.206840E-07  -0.604555E-02   0.482724E-02  -0.676206E-10   0.206840E-07  -0.676206E-10   0.126027E-09
  4999   0.182995E+00  -0.599903E-02   0.206732E-07  -0.599903E-02   0.481280E-02  -0.673814E-10   0.206732E-07  -0.673814E-10   0.125936E-09
  5000   0.182595E+00  -0.595289E-02   0.206616E-07  -0.595289E-02   0.479858E-02  -0.671079E-10   0.206616E-07  -0.671079E-10   0.125845E-09
  5001   0.182194E+00  -0.590714E-02   0.206496E-07  -0.590714E-02   0.478456E-02  -0.668019E-10   0.206496E-07  -0.668019E-10   0.125753E-09
  5002   0.181793E+00  -0.586179E-02   0.206392E-07  -0.586179E-02   0.477076E-02  -0.664932E-10   0.206392E-07  -0.664932E-10   0.125662E-09
  5003   0.181391E+00  -0.581684E-02   0.206303E-07  -0.581684E-02   0.475716E-02  -0.661821E-10   0.206303E-07  -0.661821E-10   0.125571E-09
  5004   0.180989E+00  -0.577230E-02   0.206240E-07  -0.577230E-02   0.474377E-02  -0.658682E-10   0.206240E-07  -0.658682E-10   0.125479E-09
  5005   0.180587E+00  -0.572818E-02   0.206187E-07  -0.572818E-02   0.473058E-02  -0.655477E-10   0.206187E-07  -0.655477E-10   0.125388E-09
  5006   0.180184E+00  -0.568448E-02   0.206137E-07  -0.568448E-02   0.471760E-02  -0.652121E-10   0.206137E-07  -0.652121E-10   0.125297E-09
  5007   0.179781E+00  -0.564122E-02   0.206070E-07  -0.564122E-02   0.470482E-02  -0.648678E-10   0.206070E-07  -0.648678E-10   0.125206E-09
  5008   0.179378E+00  -0.559840E-02   0.205985E-07  -0.559840E-02   0.469224E-02  -0.645211E-10   0.205985E-07  -0.645211E-10   0.125115E-09
  5009   0.178975E+00  -0.555603E-02   0.205875E-07  -0.555603E-02   0.467985E-02  -0.641708E-10   0.205875E-07  -0.641708E-10   0.125025E-09
  5010   0.178571E+00  -0.551411E-02   0.205758E-07  -0.551411E-02   0.466766E-02  -0.638158E-10   0.205758E-07  -0.638158E-10   0.124934E-09
  5011   0.178168E+00  -0.547265E-02   0.205634E-07  -0.547265E-02   0.465566E-02  -0.634459E-10   0.205634E-07  -0.634459E-10   0.124843E-09
  5012   0.177764E+00  -0.543165E-02   0.205524E-07  -0.543165E-02   0.464385E-02  -0.630387E-10   0.205524E-07  -0.630387E-10   0.124752E-09
  5013   0.177360E+00  -0.539112E-02   0.205426E-07  -0.539112E-02   0.463223E-02  -0.626296E-10   0.205426E-07  -0.626296E-10   0.124662E-09
  5014   0.176956E+00  -0.535108E-02   0.205351E-07  -0.535108E-02   0.462079E-02  -0.622220E-10   0.205351E-07  -0.622220E-10   0.124571E-09
  5015   0.176552E+00  -0.531151E-02   0.205288E-07  -0.531151E-02   0.460954E-02  -0.618133E-10   0.205288E-07  -0.618133E-10   0.124481E-09
  5016   0.176149E+00  -0.527242E-02   0.205235E-07  -0.527242E-02   0.459847E-02  -0.614025E-10   0.205235E-07  -0.614025E-10   0.124390E-09
  5017   0.175745E+00  -0.523383E-02   0.205170E-07  -0.523383E-02   0.458757E-02  -0.609804E-10   0.205170E-07  -0.609804E-10   0.124300E-09
  5018   0.175341E+00  -0.519573E-02   0.205091E-07  -0.519573E-02   0.457686E-02  -0.605478E-10   0.205091E-07  -0.605478E-10   0.124210E-09
  5019   0.174937E+00  -0.515813E-02   0.204983E-07  -0.515813E-02   0.456631E-02  -0.601087E-10   0.204983E-07  -0.601087E-10   0.124120E-09
  5020   0.174534E+00  -0.512103E-02   0.204861E-07  -0.512103E-02   0.455594E-02  -0.596658E-10   0.204861E-07  -0.596658E-10   0.124029E-09
  5021   0.174130E+00  -0.508443E-02   0.204729E-07  -0.508443E-02   0.454573E-02  -0.592146E-10   0.204729E-07  -0.592146E-10   0.123939E-09
  5022   0.173727E+00  -0.504835E-02   0.204609E-07  -0.504835E-02   0.453569E-02  -0.587536E-10   0.204609E-07  -0.587536E-10   0.123849E-09
  5023   0.173324E+00  -0.501278E-02   0.204501E-07  -0.501278E-02   0.452581E-02  -0.582545E-10   0.204501E-07  -0.582545E-10   0.123759E-09
  5024   0.172922E+00  -0.497772E-02   0.204417E-07  -0.497772E-02   0.451609E-02  -0.577432E-10   0.204417E-07  -0.577432E-10   0.123669E-09
  5025   0.172520E+00  -0.494320E-02   0.204347E-07  -0.494320E-02   0.450654E-02  -0.572269E-10   0.204347E-07  -0.572269E-10   0.123580E-09
  5026   0.172117E+00  -0.490917E-02   0.204283E-07  -0.490917E-02   0.449713E-02  -0.567044E-10   0.204283E-07  -0.567044E-10   0.123490E-09
  5027   0.171716E+00  -0.487570E-02   0.204217E-07  -0.487570E-02   0.448788E-02  -0.561790E-10   0.204217E-07  -0.561790E-10   0.123400E-09
  5028   0.171314E+00  -0.484272E-02   0.204136E-07  -0.484272E-02   0.447878E-02  -0.556439E-10   0.204136E-07  -0.556439E-10   0.123310E-09
  5029   0.170913E+00  -0.481030E-02   0.204036E-07  -0.481030E-02   0.446982E-02  -0.550975E-10   0.204036E-07  -0.550975E-10   0.123221E-09
  5030   0.170512E+00  -0.477839E-02   0.203913E-07  -0.477839E-02   0.446101E-02  -0.545415E-10   0.203913E-07  -0.545415E-10   0.123131E-09
  5031   0.170113E+00  -0.474703E-02   0.203781E-07  -0.474703E-02   0.445234E-02  -0.539841E-10   0.203781E-07  -0.539841E-10   0.123042E-09
  5032   0.169713E+00  -0.471618E-02   0.203647E-07  -0.471618E-02   0.444380E-02  -0.534208E-10   0.203647E-07  -0.534208E-10   0.122952E-09
  5033   0.169314E+00  -0.468590E-02   0.203530E-07  -0.468590E-02   0.443541E-02  -0.528544E-10   0.203530E-07  -0.528544E-10   0.122863E-09
  5034   0.168915E+00  -0.465613E-02   0.203432E-07  -0.465613E-02   0.442714E-02  -0.522676E-10   0.203432E-07  -0.522676E-10   0.122774E-09
  5035   0.168518E+00  -0.462692E-02   0.203355E-07  -0.462692E-02   0.441901E-02  -0.516672E-10   0.203355E-07  -0.516672E-10   0.122684E-09
  5036   0.168120E+00  -0.459822E-02   0.203287E-07  -0.459822E-02   0.441100E-02  -0.510597E-10   0.203287E-07  -0.510597E-10   0.122595E-09
  5037   0.167724E+00  -0.457009E-02   0.203220E-07  -0.457009E-02   0.440312E-02  -0.504543E-10   0.203220E-07  -0.504543E-10   0.122506E-09
  5038   0.167327E+00  -0.454247E-02   0.203137E-07  -0.454247E-02   0.439536E-02  -0.498454E-10   0.203137E-07  -0.498454E-10   0.122417E-09
  5039   0.166932E+00  -0.451542E-02   0.203038E-07  -0.451542E-02   0.438772E-02  -0.492382E-10   0.203038E-07  -0.492382E-10   0.122328E-09
  5040   0.166537E+00  -0.448889E-02   0.202918E-07  -0.448889E-02   0.438019E-02  -0.486217E-10   0.202918E-07  -0.486217E-10   0.122239E-09
  5041   0.166144E+00  -0.446291E-02   0.202786E-07  -0.446291E-02   0.437278E-02  -0.480024E-10   0.202786E-07  -0.480024E-10   0.122150E-09
  5042   0.165750E+00  -0.443745E-02   0.202647E-07  -0.443745E-02   0.436547E-02  -0.473771E-10   0.202647E-07  -0.473771E-10   0.122062E-09
