#    L    TT             EE             TE             PP             TP          
   232   0.571405E+04   0.123059E+01   0.328935E+02   0.226061E+07   0.181951E+04
   233   0.570681E+04   0.127415E+01   0.345881E+02   0.225013E+07   0.180503E+04
   234   0.569904E+04   0.131964E+01   0.362860E+02   0.223984E+07   0.179070E+04
   235   0.569043E+04   0.136706E+01   0.379850E+02   0.222940E+07   0.177570E+04
   236   0.568146E+04   0.141646E+01   0.396867E+02   0.221925E+07   0.176132E+04
   237   0.567157E+04   0.146786E+01   0.413878E+02   0.220897E+07   0.174683E+04
   238   0.566127E+04   0.152127E+01   0.430899E+02   0.219895E+07   0.173280E+04
   239   0.565018E+04   0.157672E+01   0.447903E+02   0.218884E+07   0.171839E+04
   240   0.563857E+04   0.163424E+01   0.464902E+02   0.217895E+07   0.170396E+04
   241   0.562628E+04   0.169383E+01   0.481868E+02   0.216900E+07   0.168984E+04
   242   0.561350E+04   0.175554E+01   0.498816E+02   0.215924E+07   0.167610E+04
   243   0.559999E+04   0.181935E+01   0.515715E+02   0.214944E+07   0.166237E+04
   244   0.558605E+04   0.188531E+01   0.532581E+02   0.213980E+07   0.164853E+04
   245   0.557133E+04   0.195341E+01   0.549383E+02   0.213015E+07   0.163456E+04
   246   0.555619E+04   0.202370E+01   0.566136E+02   0.212064E+07   0.162113E+04
   247   0.554036E+04   0.209616E+01   0.582813E+02   0.211115E+07   0.160779E+04
   248   0.552405E+04   0.217082E+01   0.599424E+02   0.210175E+07   0.159455E+04
   249   0.550734E+04   0.224771E+01   0.615966E+02   0.209259E+07   0.158131E+04
   250   0.548979E+04   0.232679E+01   0.632391E+02   0.208312E+07   0.156769E+04
   251   0.547203E+04   0.240812E+01   0.648749E+02   0.207409E+07   0.155505E+04
   252   0.545344E+04   0.249167E+01   0.664977E+02   0.206476E+07   0.154199E+04
   253   0.543454E+04   0.257750E+01   0.681117E+02   0.205577E+07   0.152924E+04
   254   0.541500E+04   0.266555E+01   0.697121E+02   0.204665E+07   0.151603E+04
   255   0.539508E+04   0.275589E+01   0.713021E+02   0.203777E+07   0.150344E+04
   256   0.537457E+04   0.284847E+01   0.728769E+02   0.202878E+07   0.149090E+04
   257   0.535375E+04   0.294335E+01   0.744404E+02   0.202001E+07   0.147886E+04
   258   0.533225E+04   0.304046E+01   0.759867E+02   0.201116E+07   0.146623E+04
   259   0.531047E+04   0.313988E+01   0.775203E+02   0.200250E+07   0.145388E+04
   260   0.528804E+04   0.324153E+01   0.790354E+02   0.199378E+07   0.144165E+04
   261   0.526526E+04   0.334549E+01   0.805358E+02   0.198522E+07   0.142988E+04
   262   0.524194E+04   0.345168E+01   0.820172E+02   0.197664E+07   0.141808E+04
   263   0.521824E+04   0.356017E+01   0.834820E+02   0.196818E+07   0.140601E+04
   264   0.519404E+04   0.367087E+01   0.849266E+02   0.195972E+07   0.139407E+04
   265   0.516950E+04   0.378386E+01   0.863535E+02   0.195137E+07   0.138238E+04
   266   0.514440E+04   0.389905E+01   0.877583E+02   0.194303E+07   0.137105E+04
   267   0.511899E+04   0.401650E+01   0.891441E+02   0.193477E+07   0.135941E+04
   268   0.509314E+04   0.413621E+01   0.905089E+02   0.192672E+07   0.134782E+04
   269   0.506677E+04   0.425803E+01   0.918484E+02   0.191840E+07   0.133584E+04
   270   0.504019E+04   0.438214E+01   0.931692E+02   0.191045E+07   0.132473E+04
   271   0.501301E+04   0.450833E+01   0.944622E+02   0.190224E+07   0.131328E+04
   272   0.498572E+04   0.463677E+01   0.957361E+02   0.189433E+07   0.130201E+04
   273   0.495779E+04   0.476727E+01   0.969807E+02   0.188629E+07   0.129027E+04
   274   0.492970E+04   0.489999E+01   0.982039E+02   0.187847E+07   0.127889E+04
   275   0.490113E+04   0.503472E+01   0.993982E+02   0.187055E+07   0.126785E+04
   276   0.487231E+04   0.517164E+01   0.100569E+03   0.186282E+07   0.125694E+04
   277   0.484313E+04   0.531051E+01   0.101711E+03   0.185501E+07   0.124588E+04
   278   0.481375E+04   0.545152E+01   0.102828E+03   0.184737E+07   0.123473E+04
   279   0.478394E+04   0.559445E+01   0.103915E+03   0.183967E+07   0.122394E+04
   280   0.475400E+04   0.573945E+01   0.104976E+03   0.183211E+07   0.121357E+04
   281   0.472361E+04   0.588633E+01   0.106005E+03   0.182452E+07   0.120330E+04
   282   0.469307E+04   0.603521E+01   0.107007E+03   0.181705E+07   0.119274E+04
   283   0.466219E+04   0.618591E+01   0.107978E+03   0.180956E+07   0.118229E+04
   284   0.463111E+04   0.633855E+01   0.108919E+03   0.180217E+07   0.117210E+04
   285   0.459977E+04   0.649295E+01   0.109828E+03   0.179479E+07   0.116241E+04
   286   0.456825E+04   0.664921E+01   0.110708E+03   0.178749E+07   0.115255E+04
   287   0.453658E+04   0.680729E+01   0.111558E+03   0.178035E+07   0.114267E+04
   288   0.450448E+04   0.696691E+01   0.112369E+03   0.177298E+07   0.113228E+04
   289   0.447229E+04   0.712840E+01   0.113152E+03   0.176593E+07   0.112261E+04
   290   0.443982E+04   0.729134E+01   0.113898E+03   0.175865E+07   0.111286E+04
   291   0.440728E+04   0.745609E+01   0.114616E+03   0.175169E+07   0.110329E+04
   292   0.437442E+04   0.762219E+01   0.115293E+03   0.174450E+07   0.109300E+04
   293   0.434158E+04   0.778999E+01   0.115943E+03   0.173756E+07   0.108311E+04
   294   0.430836E+04   0.795909E+01   0.116551E+03   0.173052E+07   0.107325E+04
   295   0.427513E+04   0.812979E+01   0.117129E+03   0.172366E+07   0.106385E+04
   296   0.424165E+04   0.830170E+01   0.117667E+03   0.171671E+07   0.105407E+04
   297   0.420809E+04   0.847511E+01   0.118172E+03   0.170992E+07   0.104417E+04
   298   0.417438E+04   0.864963E+01   0.118639E+03   0.170306E+07   0.103431E+04
   299   0.414063E+04   0.882555E+01   0.119072E+03   0.169634E+07   0.102505E+04
   300   0.410669E+04   0.900248E+01   0.119465E+03   0.168958E+07   0.101588E+04
   301   0.407278E+04   0.918069E+01   0.119826E+03   0.168293E+07   0.100669E+04
   302   0.403865E+04   0.935984E+01   0.120144E+03   0.167626E+07   0.997156E+03
   303   0.400454E+04   0.954013E+01   0.120429E+03   0.166967E+07   0.987929E+03
   304   0.397033E+04   0.972126E+01   0.120674E+03   0.166309E+07   0.979113E+03
   305   0.393609E+04   0.990343E+01   0.120883E+03   0.165658E+07   0.970527E+03
   306   0.390196E+04   0.100865E+02   0.121058E+03   0.165021E+07   0.961864E+03
   307   0.386758E+04   0.102701E+02   0.121186E+03   0.164363E+07   0.952679E+03
   308   0.383340E+04   0.104547E+02   0.121285E+03   0.163733E+07   0.943940E+03
   309   0.379903E+04   0.106397E+02   0.121337E+03   0.163083E+07   0.935426E+03
   310   0.376477E+04   0.108256E+02   0.121357E+03   0.162461E+07   0.927115E+03
   311   0.373049E+04   0.110117E+02   0.121334E+03   0.161818E+07   0.918423E+03
