#    L    TT             EE             BB             TE          
   360   0.228476E+04   0.193020E+02   0.434600E-01   0.754250E+02
   361   0.226311E+04   0.194253E+02   0.435598E-01   0.737679E+02
   362   0.224188E+04   0.195463E+02   0.436612E-01   0.720936E+02
   363   0.222103E+04   0.196638E+02   0.437640E-01   0.703959E+02
   364   0.220064E+04   0.197787E+02   0.438683E-01   0.686835E+02
   365   0.218062E+04   0.198903E+02   0.439741E-01   0.669481E+02
   366   0.216105E+04   0.199991E+02   0.440812E-01   0.651982E+02
   367   0.214188E+04   0.201043E+02   0.441897E-01   0.634289E+02
   368   0.212314E+04   0.202068E+02   0.442995E-01   0.616448E+02
   369   0.210488E+04   0.203062E+02   0.444105E-01   0.598491E+02
   370   0.208697E+04   0.204015E+02   0.445228E-01   0.580314E+02
   371   0.206956E+04   0.204943E+02   0.446362E-01   0.562064E+02
   372   0.205253E+04   0.205829E+02   0.447508E-01   0.543618E+02
   373   0.203595E+04   0.206689E+02   0.448666E-01   0.525084E+02
   374   0.201981E+04   0.207506E+02   0.449833E-01   0.506409E+02
   375   0.200411E+04   0.208296E+02   0.451012E-01   0.487654E+02
   376   0.198884E+04   0.209043E+02   0.452200E-01   0.468766E+02
   377   0.197405E+04   0.209761E+02   0.453397E-01   0.449835E+02
   378   0.195964E+04   0.210436E+02   0.454604E-01   0.430760E+02
   379   0.194572E+04   0.211082E+02   0.455819E-01   0.411653E+02
   380   0.193222E+04   0.211684E+02   0.457043E-01   0.392434E+02
   381   0.191916E+04   0.212256E+02   0.458274E-01   0.373176E+02
   382   0.190655E+04   0.212784E+02   0.459512E-01   0.353850E+02
   383   0.189439E+04   0.213281E+02   0.460757E-01   0.334501E+02
   384   0.188266E+04   0.213733E+02   0.462009E-01   0.315086E+02
   385   0.187139E+04   0.214154E+02   0.463266E-01   0.295678E+02
   386   0.186053E+04   0.214530E+02   0.464530E-01   0.276204E+02
   387   0.185015E+04   0.214874E+02   0.465798E-01   0.256745E+02
   388   0.184018E+04   0.215173E+02   0.467072E-01   0.237255E+02
   389   0.183066E+04   0.215440E+02   0.468350E-01   0.217782E+02
   390   0.182158E+04   0.215661E+02   0.469632E-01   0.198309E+02
   391   0.181293E+04   0.215848E+02   0.470918E-01   0.178867E+02
   392   0.180474E+04   0.215999E+02   0.472207E-01   0.159469E+02
   393   0.179695E+04   0.216101E+02   0.473499E-01   0.140057E+02
